logFC	logCPM	LR	PValue	FDR
PA14_40240	1.66469969211814	4.60728509129319	11.556216808497	0.000675231035725656	0.149063406633106
PA14_08100	2.22942513619849	5.70662889345441	11.5476534107787	0.000678348190526336	0.149063406633106
PA14_09350	2.44933551401824	1.6077754675258	11.4585070444144	0.000711674522825203	0.151516800249485
PA14_66400igr	2.5200663770898	0.687488818274673	11.4398552376383	0.000718853912880012	0.151516800249485
PA14_55900	1.34598058909852	5.12155839987612	11.3602870225582	0.000750312284264743	0.154984505437725
PA14_14800	-1.33709075705875	4.58770759591123	11.0468173779296	0.000888395735544232	0.168369567867352
PA14_45640igr	-1.61223109773629	4.74198135297045	11.0120080393098	0.000905235255827587	0.168369567867352
PA14_47610igr	3.67504149999737	1.74421760365196	10.9742495971659	0.00092386657757705	0.168369567867352
PA14_61180	1.77651342591712	3.1375710684489	10.971817302645	0.000925079963548513	0.168369567867352
PA14_49280igr	-2.00180824963763	5.46775982155452	10.9528859193355	0.000934579405687411	0.168369567867352
PA14_48060	2.16733162034181	4.40407870318287	10.9343366022035	0.00094398279792644	0.168369567867352
PA14_14800igr	-2.46894083009588	2.11965532269782	10.9201262610873	0.000951251258607543	0.168369567867352
PA14_58730	2.82555100653027	8.44699434755075	10.9049077495439	0.000959098157988047	0.168369567867352
PA14_10870igr	3.85748834243253	-0.106861013696582	10.8760794748199	0.000974142349049522	0.168369567867352
PA14_20520	2.17683935515965	6.32964123917797	10.8486484982407	0.000988678884337593	0.168369567867352
PA14_17280	-1.46350007636232	5.83128967963445	10.8207001192818	0.00100371526812881	0.168369567867352
PA14_69890	1.39173079562724	4.01738164830739	10.8077896102968	0.00101073907898682	0.168369567867352
PA14_59440igr	-1.95727918546547	4.48919381633169	10.7703629474169	0.00103138282788317	0.169081299148847
PA14_42550igr	2.53354887395805	1.00303839421867	10.6330312392696	0.00111085481274022	0.179264195405953
PA14_10840igr	4.8313565640243	-0.552234699588784	10.5725488807476	0.00114779356377053	0.182375568101878
PA14_40010	1.96196739002339	5.2328155200782	10.5263070409094	0.00117687148183133	0.184162555520515
PA14_10380	2.4991977891119	4.31017984335263	10.4903479595931	0.00119999770179683	0.184978750211309
PA14_41760igr	-1.9239680166636	1.35759561863109	10.3577419506731	0.00128932815467331	0.19328707697015
PA14_28050	1.67252672024892	6.34221307715831	10.3548846239622	0.00129132535930871	0.19328707697015
PA14_18800	1.94490097429405	6.00214784750982	10.1814880707327	0.00141857650163745	0.209300830127308
PA14_46970igr	2.21855137212289	0.741798583654808	10.0528070074287	0.00152115985739707	0.221275197284464
PA14_68700	-1.29032665932886	5.6748602546892	9.99120961916549	0.00157289249642469	0.222770913721082
PA14_48540	2.0351509016263	3.26402866999903	9.98923341674705	0.00157458140023616	0.222770913721082
PA14_39500igr	1.78740441456812	2.40403648155524	9.93662405716536	0.00162022422294372	0.223437239342731
PA14_13130	1.9093902065834	6.30834297963671	9.93397303566884	0.0016225593484416	0.223437239342731
PA14_50650	-1.20998393379394	4.75490662100782	9.85777531409516	0.00169115484022361	0.22529282914979
PA14_37680igr	1.61186516119493	3.04288158065035	9.85082807113812	0.00169755330039934	0.22529282914979
PA14_39990	1.98284674889019	5.1960907962808	9.84658239764596	0.00170147566553869	0.22529282914979
PA14_08240	2.05490568967437	7.12113295208647	9.81741213985551	0.00172867405137176	0.225996779779336
PA14_06420igr	3.20577160366049	-0.0772048673230825	9.72726139183853	0.00181554802103875	0.234387249516102
PA14_01490	2.84002428343017	9.64664989830362	9.60412185747082	0.00194141094838561	0.241642420840417
PA14_21020	1.7144519816629	7.34640524394042	9.56777029249582	0.00198023146993969	0.241642420840417
PA14_01350	1.71293524190711	3.33895683841139	9.56005437682582	0.00198857217767145	0.241642420840417
PA14_08950	-1.29874393613917	5.94528061424095	9.53291167932236	0.00201819681624392	0.241642420840417
PA14_59310igr	5.56694265768914	-0.558963996160619	9.529169676019	0.00202231594116464	0.241642420840417
PA14_01360	1.50301876644838	3.97106507911391	9.52552379347804	0.00202633745688677	0.241642420840417
PA14_30350igr	4.32021323089758	7.04083614603228	9.51722288453912	0.00203552387810963	0.241642420840417
PA14_13110	1.49654874092341	4.91205366144728	9.44373535590337	0.00211871540231369	0.247257386606379
PA14_09070igr	-1.46861969190328	5.45651147758701	9.43338736861094	0.002130703660725	0.247257386606379
PA14_38990igr	2.37889622685736	1.0855420725607	9.29351676466562	0.00229966259856357	0.263669319525734
PA14_49860igr	-2.13680576828404	2.1522292753939	9.27487125377065	0.00232319017010475	0.263669319525734
